playlist_id,playlist_name,collection_date,mean_track_date,playlist_type,nb_tracks,nb_clusters,nb_clusters_2,hh_index,hh_index_2,distances,distances_2,distances_3,stirling_index,stirling_index_2,playlist_followers
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-08-18,2022-12-27 04:48:00,Charts,50,2,4,5128.0,2744.0,0.306817406024514,0.544744147520305,0.941177790508432,[[0.14948144]],[[0.2576278]],843639
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-08-25,2023-02-17 09:07:12,Charts,50,2,10,5200.0,1240.0,0.31397869950514,0.806520177868624,0.938435579984162,[[0.15070978]],[[0.34735996]],844423
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-09-01,2023-01-10 06:43:12,Charts,50,3,10,3408.0,1584.0,0.437642483350098,0.862890637866412,0.926504462995138,[[0.21463295]],[[0.3314692]],845111
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-09-08,2023-01-11 16:48:00,Charts,50,3,9,3368.0,1400.0,0.434666355197416,0.78756452630287,0.923293009086095,[[0.21506932]],[[0.33437776]],845846
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-09-15,2023-04-22 01:57:33,Charts,49,2,9,5351.93669304456,1311.95335276968,0.346389577977542,0.771207206491839,0.945160697041847,[[0.16100407]],[[0.34389976]],846931
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-09-22,2023-04-08 17:37:57,Charts,49,3,9,3544.35651811745,1386.92211578509,0.475969197927607,0.771041079004327,0.938854318441766,[[0.22617501]],[[0.34230632]],847572
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-09-29,2023-02-06 11:15:55,Charts,49,4,4,3577.67596834652,3577.67596834652,0.674514218782535,0.674514218782535,0.895063939728619,[[0.23559746]],[[0.23559746]],848092
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-10-06,2022-12-21 10:46:31,Charts,49,2,10,7850.89546022491,1353.60266555602,0.421086502683211,0.79185122650112,0.916893078660645,[[0.09049589]],[[0.344137]],848711
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-10-13,2022-12-17 11:45:18,Charts,49,2,10,7551.02040816326,1445.23115368596,0.393252675298586,0.813049801547882,0.865353195060436,[[0.09630678]],[[0.31660785]],845142
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-10-20,2022-12-15 01:57:33,Charts,49,2,8,5168.67971678467,1745.10620574761,0.282684805474161,0.740349977830204,0.861659363330183,[[0.13657408]],[[0.31360775]],844471
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-10-27,2023-01-01 10:17:08,Charts,49,2,7,5251.97834235735,1928.3631820075,0.291876491551216,0.734196058478036,0.849985829160405,[[0.13858359]],[[0.2961431]],845018
